Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
KASUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.3049246083999932,18,61.111111111111114,reports_walkforward/returns_KASUSDT_1H.pkl,6,32,4,5,True,44,2
KASUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.9778232070000059,3,33.33333333333333,reports_walkforward/returns_KASUSDT_1H.pkl,26,54,3,5,True,52,3
KASUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.386813189639983,3,66.66666666666666,reports_walkforward/returns_KASUSDT_1H.pkl,14,50,8,7,False,28,2
KASUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.788875735199972,11,63.63636363636363,reports_walkforward/returns_KASUSDT_1H.pkl,12,38,1,4,True,56,2
KASUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,10.086798358719973,7,71.42857142857143,reports_walkforward/returns_KASUSDT_1H.pkl,24,28,4,2,True,52,3
KASUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.49920471055999727,13,69.23076923076923,reports_walkforward/returns_KASUSDT_1H.pkl,10,56,1,3,True,48,2
KASUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,5.841994002359963,11,72.72727272727273,reports_walkforward/returns_KASUSDT_1H.pkl,20,68,1,2,True,44,3
KASUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-6.967034760479995,22,54.54545454545454,reports_walkforward/returns_KASUSDT_1H.pkl,6,78,1,3,True,40,2
KASUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.569873575199946,15,60.0,reports_walkforward/returns_KASUSDT_1H.pkl,14,36,2,2,False,74,3
KASUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.2320537591199896,5,80.0,reports_walkforward/returns_KASUSDT_1H.pkl,16,44,7,2,False,74,3
KASUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.4432017458799775,11,90.9090909090909,reports_walkforward/returns_KASUSDT_1H.pkl,18,20,6,1,True,52,4
KASUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.6582837462400413,12,75.0,reports_walkforward/returns_KASUSDT_1H.pkl,4,12,11,1,True,44,4
KASUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,8.60157253320002,12,91.66666666666666,reports_walkforward/returns_KASUSDT_1H.pkl,16,38,3,1,False,64,3
KASUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.5452924562800137,10,80.0,reports_walkforward/returns_KASUSDT_1H.pkl,20,28,6,6,False,58,2
